Name,Section,Due Date,Priority,Description,Status
Stripe integration - implement real checkout backend,CRITICAL - Payment (Week 1-2),2026-04-22,High,"Create /api/create-checkout-session endpoint. Replace mock checkout in src/lib/stripe.ts. Wire up Individual + Multi-Site + Authority payment flows. Need VITE_STRIPE_PUBLIC_KEY and backend secret key.",Not started
Set bypassPaywall to false in RouteGuard.tsx,CRITICAL - Payment (Week 1-2),2026-04-22,High,"src/components/guards/RouteGuard.tsx line 109. Currently true (all routes open). Must be false before any paying customer.",Not started
Wire Decision.tsx payment logic,CRITICAL - Payment (Week 1-2),2026-04-22,High,"Lines 9-39 have TODO: entitlement checking / module access logic / upgrade flow / subscription management. Implement after Stripe backend is live.",Not started
Set VITE_STRIPE_PUBLIC_KEY in production env,CRITICAL - Payment (Week 1-2),2026-04-22,High,"Replace placeholder pk_test_ key with real Stripe publishable key.",Not started
Test full payment flow end-to-end,CRITICAL - Payment (Week 1-2),2026-04-25,High,"Signup -> tier selection -> Stripe checkout -> success page -> correct access level. Test all tiers.",Not started
Configure SMTP for Supabase email,CRITICAL - Email & Auth (Week 1-2),2026-04-22,High,"Email verification is DISABLED. No password reset emails working. Configure SMTP provider (Resend / SendGrid / AWS SES) in Supabase dashboard.",Not started
Re-enable email verification in Supabase,CRITICAL - Email & Auth (Week 1-2),2026-04-22,High,"Deployment checklist line 90: DISABLED for testing. Re-enable before launch.",Not started
Set VITE_ENABLE_AUTH to true,CRITICAL - Email & Auth (Week 1-2),2026-04-22,High,".env line 30: currently false. Must be true for production auth to work.",Not started
Test signup -> email confirmation -> login flow,CRITICAL - Email & Auth (Week 1-2),2026-04-25,High,"End-to-end auth flow with real SMTP. Password reset flow too.",Not started
Create Privacy Policy page,CRITICAL - Legal (Week 1-2),2026-04-18,High,"No privacy policy exists. Required under Australian Privacy Act. Create src/pages/PrivacyPolicy.tsx. Cover: data collection / storage / Supabase / cookies / third parties / user rights / contact.",Not started
Create Terms of Service page,CRITICAL - Legal (Week 1-2),2026-04-18,High,"No ToS exists. Must include: self-assessment disclaimer / limitation of liability / acceptable use / subscription terms / refund policy. Key line: Access Compass provides guided self-assessment tools not professional accessibility advice.",Not started
Add Privacy Policy and ToS links to footer and signup flow,CRITICAL - Legal (Week 1-2),2026-04-20,High,"Links must be visible on landing page footer / signup page / checkout page.",Not started
Professional indemnity insurance - get quote and purchase,CRITICAL - Legal (Week 1-2),2026-04-18,High,"Legal protection before first paying customer. Non-negotiable.",Not started
Remove .env and .env.local from git tracking,CRITICAL - Security (Week 1),2026-04-14,High,".env is committed with credentials. WAVE API key exposed. .env.local has Vercel OIDC token. Remove from git history. Revoke exposed keys.",Not started
Move Anthropic API calls to backend,CRITICAL - Security (Week 1),2026-04-18,High,"src/utils/visionAnalysis.ts lines 310 and 357: client-side calls expose VITE_ANTHROPIC_API_KEY in browser. Move to server-side API route.",Not started
Revoke exposed credentials,CRITICAL - Security (Week 1),2026-04-14,High,"Revoke: WAVE API key (VITE_WAVE_API_KEY in .env) / Vercel OIDC token (.env.local). Regenerate and store securely.",Not started
Set real VITE_CONSULT_BOOKING_URL,CRITICAL - Config (Week 1-2),2026-04-18,Medium,"Currently placeholder Calendly link. Replace with actual booking URL or remove if not ready.",Not started
Set VITE_API_BASE_URL for Stripe backend,CRITICAL - Config (Week 1-2),2026-04-22,High,"Currently empty. Needed for checkout API calls.",Not started
Verify support email addresses are active,CRITICAL - Config (Week 1-2),2026-04-18,Medium,"support@accesscompass.com.au and hello@accesscompass.com.au appear in multiple places. Confirm they receive mail.",Not started
Package council program offer (one-pager),MUST DO - Sales Prep (Week 1-2),2026-04-22,High,"One clear sellable thing: Access Compass Council Program. Light / Guided / Full options. See growth bible.",Not started
Create Business Getting Started Guide (PDF),MUST DO - Sales Prep (Week 1-2),2026-04-25,High,"2-4 pages. For businesses in council programs. See prompt-onboarding-assets.md.",Not started
Create Council Outreach Email Templates (6 templates),MUST DO - Sales Prep (Week 1-2),2026-04-25,High,"Invitation / Reminder / Halfway / Completion / Re-assessment / Wrap-up. See prompt-onboarding-assets.md.",Not started
Create One-Page Program Overview (PDF),MUST DO - Sales Prep (Week 1-2),2026-04-25,Medium,"For council internal stakeholders. What / Why / How / Cost. See prompt-onboarding-assets.md.",Not started
Update pricing page - add Program Support grouping,MUST DO - Sales Prep (Week 1-2),2026-04-25,Medium,"Add Program support feature grouping to Authority tiers. Add one-line facilitation CTA below tiers.",Not started
Set up case study capture template,MUST DO - Sales Prep (Week 1-2),2026-04-22,Medium,"Template: what we did / what happened / what they said / metrics. Start using from day 1 of any pilot.",Not started
Prepare demo walkthrough,MUST DO - Sales Prep (Week 1-2),2026-04-22,Medium,"Scripted 30-min demo: discovery -> assessment -> action plan -> authority dashboard. See sales playbook.",Not started
Prepare CoM proposal (program-framed),MUST DO - Sales Prep (Week 2-3),2026-04-25,High,"Structured accessibility program positioning. Guided Program at founders rate. See growth bible for pricing.",Not started
